,Datetime,Text
59,2020-07-21 00:18:54+00:00,"So Liar Schiff still wants to blame it on the Russians? Why isn't he in jail yet? WTF is keeping him and the other treasonous, failed coup group in jail. Anything to distract from reality. Please Mr Barr lock these guys up. "
60,2020-07-20 23:38:04+00:00,The DemLeftLibs have only a longtime name to run for POTUS. How sad that they can't admit they just don't have anyone. But the LeftLibLiars will never admit fault. Even when several will/better end up in jail. 
61,2020-07-20 20:27:13+00:00,It’s why she’s in jail
62,2020-07-20 19:05:02+00:00,people reallllllllllly been testing me lately & they have no idea that I will gladly go spend a couple nights in Spokane jail for punching a bitch straight in the face
63,2020-07-20 17:05:04+00:00,I hope I don’t get put in jail for this 
64,2020-07-20 15:23:09+00:00,KEEP CLEARING THE STREETS!!! SCREW PORTLAND MAYOR B.S.!!!!! (THESE ARE MOSTLY ALL KIDS) MIXED IN W ANTIFA &amp; BLM THUGS. (JR HIGH/HIGH SCHOOL COLLEGE) NO PARENT SUPERVISION/NONE!!! (ARREST FEDERALY &amp; 0 O.R./JAIL?? THESE PEOPLE CHARGED FEDRLY!! (FEDERAL CHARGES EVERYBODY)
65,2020-07-20 13:56:10+00:00,Lmao one of my friends put me in horny jail just for looking at some pics a friend sent to a group chat
66,2020-07-20 04:42:08+00:00,Hope they all go to jail! 
67,2020-07-20 01:07:15+00:00,"If we had Law and Order, you would be in jail. You child molester."
68,2020-07-17 23:26:20+00:00,"This man needs a thorough a** kicking! My daughter is half-Asian. If he said this to her, I’d end up in jail! #RacistAttacks"
69,2020-07-16 00:34:09+00:00,"He is pretty far right. He calls everything that is left of him fake news, he said FOX was not right wing enough, and he wants to jail people for exercising 1A through buring the flag."
70,2020-07-16 00:32:50+00:00,He is pretty darn close. he wants to jail people for exercising 1A. that’s authoritarianism
71,2020-07-15 18:16:51+00:00,Isabella Bay 2022 handing out get out of jail free cards to her teammates 
72,2020-07-08 13:45:32+00:00,Just had to do this here to homeless guy who refused to be hospitalized...no other choice but jail
73,2020-06-25 01:12:16+00:00,"People of color exempt from Oregon county's mask order https://www.cbsnews.com/news/lincoln-county-oregon-exempts-people-of-color-mandatory-coronavirus-mask-policy/ it's Trump's stooge supporters that are violating the mask order they should be arrested and thrown in jail and fined $1,000.00 especially in state of Washington"
74,2020-06-20 18:42:37+00:00,And you thug trump are breaking laws every second in the Whitehouse and against the American decent people and the constitution you should be physically removed from the Whitehouse arrested put in jail for the crimes you commit against your own people
75,2020-06-18 20:17:49+00:00,Facebook jail is the only jail that makes you more free
76,2020-06-15 13:26:22+00:00,Spokane Police racism by the numbers: Chances of getting arrested: Black: 5x more than whites Native: 4x more than whites Spokane PD against arrested Black people: 2x use of force 6x more likely to go to jail 2x length of jail stay https://www.spokesman.com/stories/2020/jun/14/black-spokane-residents-are-5-times-more-likely-to/ #DefundThePolice
77,2020-06-14 22:34:36+00:00,No new jail in Spokane! Empty the one we have now - put them back with their families and communities! #BlackLivesMatter #DefundThePolice #NoNewJail
78,2020-06-14 05:43:57+00:00,Do not back down till they are in jail. 
79,2020-06-13 11:45:26+00:00,Jesus christ. Put them in jail 
80,2020-06-11 18:32:52+00:00,Trump is already setting the stage to challenge the election results in order for the #TrumpGlobalCrimeFamily to stay out of jail. 
81,2020-06-11 13:22:40+00:00,Miller should be arrested and thrown in jail bad karma and illness bestow P.O.S MILLER AND ROT IN HELL MILLER
82,2020-06-11 00:56:19+00:00,....kind of monster no bail throw him in jail and give him the death sentence kill him a s.a p with the most painful form of our death penalty do it quick I CANNOT BELEIVE HOW CRUEL COLD AND DISTURBED THIS TRASH IS AND HOW DISTURBING AND WRONG MESSED UP TO US DECENT NORMAL...... 
83,2020-06-07 19:02:47+00:00,My birthday wish for years to come is that the tides of time change soon and the decent folks of my and this U.S.OF.A TURN AGAINST THUG TRUMP THUG WHITEHOUSE RUN THE GROUNDS OF THE WHITEHOUSE AND LITERALLY TAKE CONTROL OF THE WHITEHOUSE AND ARRESTING AND PUTTING IN JAIL ALL.....
84,2020-06-06 18:47:42+00:00,My understanding is the union pressured them all into resigning. I haven't chased that part down though.
85,2020-06-05 00:35:30+00:00,"“It’s a crisis within a crisis,” in which one of those crises is a pandemic, so let’s keep people in jail for longer without cause..? Exacerbating one of those crises? "
86,2020-06-02 21:42:38+00:00,Trucker who drove toward crowd of protesters to be released https://www.cbsnews.com/news/truck-driver-minneapolis-protesters-interstate-35w-bogdan-vechirko-released-from-jail/ ...why would you release this pig from jail what was his intentions is it obvious dumbass police dept.
87,2020-05-31 19:52:23+00:00,IF YOU ARE PRESS YOU WILL GO TO JAIL OR BE ATTACKED. I REPEAT. IF YOU ARE PRESS YOU WILL GO TO JAIL OR BE ATTACKED. THERE IS NO FREE SPEECH. SOMEONE FUCKING DENOUCE THIS! 
88,2020-05-30 03:10:56+00:00,"If I saw the guy from reading rainbow at a bar and someone was messing with him, I’d risk everything. I’d go to jail in the name of education"
89,2020-05-29 04:50:11+00:00,The country is falling apart due to the governmental failures. Will the cop go to jail? Will thousands die there from infection? How bad Will the economy crash? Collapse seems certain. 
90,2020-05-28 16:18:51+00:00,"Then why did you start justifying? Also imagine the world where both are just as effective. I'm not saying I'm gonna just go out and burning cars. I would be put in industrial jail complex so fast I would forget I was once free. ""The Riots"" are the people speaking, and they are.."
91,2020-05-27 21:36:37+00:00,"And I, as a lawyer, would tell that asshole see you in jail. Unreal."
92,2020-05-27 03:09:05+00:00,Start prosecuting tbe media throw there ass in jail 
93,2020-05-22 14:21:28+00:00,"NEEDS TO BE LIFE IN JAIL FOR ANY PROFFESORS!!!!! COMMITING ESPIONAGE!! &amp; (NO PLEA BARGAINING) THESE BRAINWASHERS?? ALREADY INDOCTRINATE? ALL OF THE KIDS TO HATE THEN THE HATING SCUM? PROFFESORS STEAL OUR SECRETS &amp; SNEEK OUT TO (CHINA FOR MILLIONS???) """"THEY USE TO HANG'EM"""""
94,2020-05-20 22:29:44+00:00,"In a span of two days, Iron Horse bar went from “Taking Back R Freedom” to “Send R Mail 2 The Tijuana Jail”. "
95,2020-05-19 14:42:31+00:00,"Ill go to jail with you, to keep you safe from vectors."
96,2020-05-08 14:30:23+00:00,This administration is so corrupt they should all be in jail 
97,2020-05-07 18:40:21+00:00,Wealthy white woman? That's why she went to jail for trying to feed her children. Nut Job.
98,2020-05-07 04:28:49+00:00,"They did. I went to jail. And I proved my innocense in a court of law. I'm frustrated with the person that lied about me, but I fully support the police department and legal system taking it seriously and believing her. I would not have supported anyone trying to smear her online"
99,2020-05-03 01:16:18+00:00,Should be in jail but by the grace of God go I.
100,2020-04-25 18:52:51+00:00,"Are you in jail or something, Twitter jail, cause you shows zero followers and zero following"
